"id:ID","reference_uri","name","uuid"
"3","http://ra.d4k.dk/dataset/ra/cdisc","CDISC","6d814699-67b3-4219-8fe6-1007236e3264"
"4","http://ra.d4k.dk/dataset/ra/d4k","d4k","05456e4a-afdd-4c11-9917-42baea339f31"
