"id:ID","registration_status","effective_date","until_date","uuid"
"6","Released","2022-03-25","","2306248e-ffff-436a-90a0-3a9c381da335"
"7","Released","2021-12-17","","be4facbc-134d-4246-831f-766b597f5159"
"8","Released","2021-12-17","","5500c274-b0a1-43aa-8f7b-e8ea689190c6"
"9","Released","2021-12-17","","98d99ee1-d5de-4524-bffa-448e8a0ac1b9"
"10","Released","2021-12-17","","31b76f86-1ec0-4573-aced-906531394690"
"11","Released","2021-12-17","","aabe0559-3b16-4e5d-a855-df5a072bd583"
"12","Released","2021-12-17","","68c959fb-1667-4962-8ec3-f14c937d30f5"
"13","Released","2021-12-17","","30512e06-3f78-46a2-8a82-849b90622625"
"14","Released","2021-12-17","","65e9783f-3199-494c-abae-1cab17bec7ce"
"15","Released","2021-12-17","","e6c8ccf6-810a-4aec-bb30-f203d14f3658"
"16","Released","2021-12-17","","5fe73f6b-99fd-44ea-9365-54fdb5f2383b"
"17","Released","2021-12-17","","11b676e3-bc78-4df5-aa1c-43efab97f320"
"18","Released","2021-12-17","","97634ec1-cc33-42b5-89ba-e7d6e145237f"
"19","Released","2021-12-17","","11b8e481-9888-4eac-994d-7b97f89c3da2"
"20","Released","2021-12-17","","c74be4c7-6e7c-49b8-8f3b-12b488896fd4"
"21","Released","2021-12-17","","983de3c7-daec-4c1c-a11a-cc6ce642983a"
"22","Released","2021-12-17","","a0dd8d9e-057e-4513-bc09-6d93e4e14351"
"23","Released","2021-12-17","","090c4275-4fa2-4d72-ba5e-2055ca994069"
"24","Released","2021-12-17","","4176d551-790c-4e77-a1b5-08863b8e96d0"
"25","Released","2021-12-17","","3a28cf4d-cff8-4fdf-a838-582fd4a090a2"
"26","Released","2021-12-17","","05d1e4bd-fa4e-4ce0-ab43-51888338c739"
"27","Released","2021-12-17","","664480fe-9f3c-41eb-b18b-02753ece0eb3"
"28","Released","2021-12-17","","12401ed6-fcf6-4dd3-8983-b10021b5300c"
"29","Released","2021-12-17","","62519f60-ab83-43fa-82db-10633e5f58da"
"30","Released","2021-12-17","","cae295a5-c55e-4827-a4a0-a0dd70730d67"
"31","Released","2021-12-17","","cf226e1e-2893-43d8-b0ba-5a3641a0af7d"
"32","Released","2021-12-17","","978cad55-c6eb-4a8a-9390-05e1ab7bb1ae"
"33","Released","2021-12-17","","4efa6f36-9ad0-4c97-b21c-a81f8ad4fa8d"
"34","Released","2021-12-17","","4b16e413-7d52-4983-bc10-079a752a4f1b"
"35","Released","2021-12-17","","39994993-9c16-471a-89f0-36e33636db98"
"36","Released","2021-12-17","","7e3172be-da1b-4119-9e71-8185fe124ce2"
"37","Released","2021-12-17","","229203b6-5e47-4ffc-8335-ef380e902f3b"
"38","Released","2021-12-17","","1a817488-13ad-466d-a1bc-59a676584751"
"39","Released","2021-12-17","","9aeec8c5-fcaa-49b0-a545-6f4b9c1e72ec"
"40","Released","2021-12-17","","887d227c-42fe-4a01-a6cb-aad2bc48d352"
"41","Released","2021-12-17","","31872f06-5751-43da-be15-b8c9b69b95e5"
"42","Released","2021-12-17","","0d2d3c19-ecae-403c-9ddf-ac0afbe6eaca"
"43","Released","2021-12-17","","a0ae12ca-4df0-4ee9-aa4a-86881902b783"
"44","Released","2021-12-17","","c0aca851-df95-4661-ba15-7bb73cc60fae"
"45","Released","2021-12-17","","7e324ded-b602-42f9-ba5f-d4fcfd280c29"
"46","Released","2021-12-17","","3e0e604e-a421-46f0-911e-73cd1cf521ed"
"47","Released","2021-12-17","","985b67bd-8231-4a0f-b3cf-75762efdbbc2"
"48","Released","2021-12-17","","91dac5b3-bb18-47a5-b435-32f393a4e4c2"
"49","Released","2021-12-17","","cc459b78-1f4f-47f7-9256-1ca773edc28d"
"50","Released","2021-12-17","","657bde7e-23e5-4678-ba26-d28311a2713b"
"51","Released","2021-12-17","","e09be45f-bc09-4d0e-bab6-fe9d6b05ebcc"
"52","Released","2021-12-17","","c231d256-0791-4243-ad74-a8efc6e94d1a"
"53","Released","2021-12-17","","f0c9d396-7398-4847-be61-9e1f1512a94b"
"54","Released","2021-12-17","","ff9b5360-16eb-48a8-8a0b-b9f074649f10"
"55","Released","2021-12-17","","5d45552a-a75c-4df3-96b1-e8a73e048b25"
"56","Released","2021-12-17","","475f45d4-4226-4504-bb0e-ee7f1d655e88"
"57","Released","2021-12-17","","24d1ec6e-e286-4cc0-910e-39f45f2ce410"
"58","Released","2022-03-25","","573238dc-bcbf-4def-96c7-fbf16fc6d592"
"59","Released","2022-03-25","","bb3e5177-4ba5-4e7d-a2f0-1610602e01d1"
"60","Released","2022-03-25","","c5933252-e87b-4873-9b1c-60fb8bb66ee7"
"61","Released","2022-03-25","","98811e69-b172-44fc-9655-517b4f1014f1"
"62","Released","2022-03-25","","599d1e15-22e2-4242-a897-8686adb24d33"
"63","Released","2022-03-25","","68d51e9f-0738-468f-9042-89c1aad38606"
"64","Released","2022-03-25","","6b9fca38-a13a-47a1-8355-e708508d03f3"
"65","Released","2022-03-25","","ea441214-110e-4eec-a9d6-4d65d932259b"
"66","Released","2022-03-25","","b528a134-737c-4c73-860f-bdd248b53e59"
