":START_ID",":END_ID"
"143802","87340"
"143802","87356"
"143802","87349"
"143802","87336"
"143802","87350"
"143802","87338"
"143802","87327"
"143802","87352"
"143802","87341"
"143802","87339"
"143802","87344"
"143803","87405"
"143803","87406"
"143803","87407"
"143803","87408"
"143803","87409"
"143803","87410"
"143803","87411"
"143803","87412"
"143803","87413"
"143803","87414"
"143803","87415"
"143803","87416"
"143803","87417"
"143803","87418"
"143803","87419"
"143804","87394"
"143804","87392"
"143804","87390"
"143804","87401"
"143804","87395"
"143804","87402"
"143804","87400"
"143804","87393"
"143804","87391"
"143804","87398"
"143804","87403"
"143804","87396"
"143804","87397"
"143804","87389"
"143804","87399"
"143805","109335"
"143805","109336"
"143805","109337"
"143805","109338"
"143805","109339"
"143805","109340"
"143805","109341"
"143805","109342"
"143805","109343"
"143805","109344"
"143805","109345"
"143805","109346"
"143806","109348"
"143806","109349"
"143806","109350"
"143806","109351"
"143806","109352"
"143806","109353"
"143806","109354"
"143806","109355"
"143806","109356"
"143806","109357"
"143806","109358"
"143806","109359"
"143807","101332"
"143807","101333"
"143807","101334"
"143807","101335"
"143807","101336"
"143807","101337"
"143807","95229"
"143807","101338"
"143808","122164"
"143808","122165"
"143808","122166"
"143808","122167"
"143808","122168"
"143808","122169"
"143808","122170"
"143809","122172"
"143809","122173"
"143809","122174"
"143809","122175"
"143809","122176"
"143809","122177"
"143809","122178"
"143810","89845"
"143810","89846"
"143810","89847"
"143810","89848"
"143810","89849"
"143810","89850"
"143810","89851"
"143810","89852"
"143810","89853"
"143810","89854"
"143810","89855"
"143810","89856"
"143810","89857"
"143810","89858"
"143810","131422"
"143811","89860"
"143811","89861"
"143811","89862"
"143811","89863"
"143811","89864"
"143811","89865"
"143811","89866"
"143811","89867"
"143811","89868"
"143811","89869"
"143811","89870"
"143811","89871"
"143811","89872"
"143811","89873"
"143811","131424"
"143812","80841"
"143812","80842"
"143812","80843"
"143812","80844"
"143812","80845"
"143812","80846"
"143812","80847"
"143812","80848"
"143812","80849"
"143812","80850"
"143812","84238"
"143812","80852"
"143812","85823"
"143812","80854"
"143812","80855"
"143812","80856"
"143812","80857"
"143812","80858"
"143812","80859"
"143813","80829"
"143813","80830"
"143813","84236"
"143813","80821"
"143813","80822"
"143813","80833"
"143813","80834"
"143813","80835"
"143813","80838"
"143813","80824"
"143813","80826"
"143813","80825"
"143813","80836"
"143813","80837"
"143813","80828"
"143813","80832"
"143813","80823"
"143813","80839"
"143813","80827"
"143814","115621"
"143814","115622"
"143814","115623"
"143814","115624"
"143814","115625"
"143814","115626"
"143814","115627"
"143814","115628"
"143814","115629"
"143814","115630"
"143814","115631"
"143814","115632"
"143814","115633"
"143814","115634"
"143814","115635"
"143814","115636"
"143814","115637"
"143814","115638"
"143814","115639"
"143814","115640"
"143814","115641"
"143814","115642"
"143814","115643"
"143814","115644"
"143814","115645"
"143815","115647"
"143815","115648"
"143815","115649"
"143815","115650"
"143815","115651"
"143815","115652"
"143815","115653"
"143815","115654"
"143815","115655"
"143815","115656"
"143815","115657"
"143815","115658"
"143815","115659"
"143815","115660"
"143815","115661"
"143815","115662"
"143815","115663"
"143815","115664"
"143815","115665"
"143815","115666"
"143815","115667"
"143815","115668"
"143815","115669"
"143815","115670"
"143815","115671"
"143816","115673"
"143816","115674"
"143816","115675"
"143816","115676"
"143816","115677"
"143816","115678"
"143816","115679"
"143817","115681"
"143817","115682"
"143817","115683"
"143817","115684"
"143817","115685"
"143817","115686"
"143817","115687"
"143818","115689"
"143818","115690"
"143818","115691"
"143818","115692"
"143818","115693"
"143818","115694"
"143819","115696"
"143819","115697"
"143819","115698"
"143819","115699"
"143819","115700"
"143819","115701"
"143820","89875"
"143820","89876"
"143820","89877"
"143820","89878"
"143820","89879"
"143820","89880"
"143820","89881"
"143820","89882"
"143820","89883"
"143820","89884"
"143820","89885"
"143820","89886"
"143820","89887"
"143820","89888"
"143820","89889"
"143820","89890"
"143820","89891"
"143820","89892"
"143820","89893"
"143820","89894"
"143820","89895"
"143820","89896"
"143820","89897"
"143820","89898"
"143821","89900"
"143821","89901"
"143821","89902"
"143821","89903"
"143821","89904"
"143821","89905"
"143821","89906"
"143821","89907"
"143821","89908"
"143821","89909"
"143821","89910"
"143821","89911"
"143821","89912"
"143821","89913"
"143821","89915"
"143821","89914"
"143821","89916"
"143821","89917"
"143821","89918"
"143821","89919"
"143821","89920"
"143821","89921"
"143821","89922"
"143821","89923"
"143822","93166"
"143823","93168"
"143824","115707"
"143824","115708"
"143824","115709"
"143824","115710"
"143824","115711"
"143824","115712"
"143824","115713"
"143824","115714"
"143824","115715"
"143824","115716"
"143824","115717"
"143824","115718"
"143824","115719"
"143824","115720"
"143824","115721"
"143824","115722"
"143824","115723"
"143824","115724"
"143824","115725"
"143824","115726"
"143824","115727"
"143824","115728"
"143824","115729"
"143824","115730"
"143824","115731"
"143824","115732"
"143824","115733"
"143824","115734"
"143824","115735"
"143824","115736"
"143824","115737"
"143824","115738"
"143824","115739"
"143824","115740"
"143824","115741"
"143824","115742"
"143824","115743"
"143824","115744"
"143824","115745"
"143824","115746"
"143824","115747"
"143824","115748"
"143824","115749"
"143824","115750"
"143824","115751"
"143824","115752"
"143825","115754"
"143825","115755"
"143825","115756"
"143825","115757"
"143825","115758"
"143825","115759"
"143825","115760"
"143825","115761"
"143825","115762"
"143825","115763"
"143825","115764"
"143825","115765"
"143825","115766"
"143825","115767"
"143825","115768"
"143825","115769"
"143825","115770"
"143825","115771"
"143825","115772"
"143825","115773"
"143825","115774"
"143825","115775"
"143825","115776"
"143825","115777"
"143825","115778"
"143825","115779"
"143825","115780"
"143825","115781"
"143825","115782"
"143825","115783"
"143825","115784"
"143825","115785"
"143825","115786"
"143825","115787"
"143825","115788"
"143825","115789"
"143825","115790"
"143825","115791"
"143825","115792"
"143825","115793"
"143825","115794"
"143825","115795"
"143825","115796"
"143825","115797"
"143825","115798"
"143825","115799"
"143826","118147"
"143826","118148"
"143826","118149"
"143826","118150"
"143826","118151"
"143826","118152"
"143826","118153"
"143826","118154"
"143826","118155"
"143826","118156"
"143826","118157"
"143826","118158"
"143826","118159"
"143826","118160"
"143826","118161"
"143826","118162"
"143826","118163"
"143826","118164"
"143826","118165"
"143826","118166"
"143826","118167"
"143826","118168"
"143826","118169"
"143826","118170"
"143826","118171"
"143826","118172"
"143826","118173"
"143826","118174"
"143826","118175"
"143826","118176"
"143826","118177"
"143826","118178"
"143826","118179"
"143826","118180"
"143826","118181"
"143826","118182"
"143826","118183"
"143826","118184"
"143826","118185"
"143826","118186"
"143826","118187"
"143826","118188"
"143826","118189"
"143826","118190"
"143826","118191"
"143827","118193"
"143827","118194"
"143827","118195"
"143827","118196"
"143827","118197"
"143827","118198"
"143827","118199"
"143827","118200"
"143827","118201"
"143827","118202"
"143827","118203"
"143827","118204"
"143827","118205"
"143827","118206"
"143827","118207"
"143827","118208"
"143827","118209"
"143827","118210"
"143827","118211"
"143827","118212"
"143827","118213"
"143827","118214"
"143827","118215"
"143827","118216"
"143827","118217"
"143827","118218"
"143827","118219"
"143827","118220"
"143827","118221"
"143827","118222"
"143827","118223"
"143827","118224"
"143827","118225"
"143827","118226"
"143827","118227"
"143827","118228"
"143827","118229"
"143827","118230"
"143827","118231"
"143827","118232"
"143827","118233"
"143827","118234"
"143827","118235"
"143827","118236"
"143827","118237"
"143828","104580"
"143828","104581"
"143828","104582"
"143828","104583"
"143828","104584"
"143828","104585"
"143828","104586"
"143828","104587"
"143828","104588"
"143828","104589"
"143828","104590"
"143828","104591"
"143828","104592"
"143828","104593"
"143828","104594"
"143828","104595"
"143828","104596"
"143828","104597"
"143828","104598"
"143828","104599"
"143828","104600"
"143828","104601"
"143828","104602"
"143828","104603"
"143828","104604"
"143828","104605"
"143828","104606"
"143828","104607"
"143828","124920"
"143828","104609"
"143828","104610"
"143828","104611"
"143828","104612"
"143828","104613"
"143828","104614"
"143828","104615"
"143828","104616"
"143828","104617"
"143828","104618"
"143828","104619"
"143828","104620"
"143828","104621"
"143828","104622"
"143828","106059"
"143828","106060"
"143828","104625"
"143828","104626"
"143828","104627"
"143828","104628"
"143828","104629"
"143828","104630"
"143828","104631"
"143828","104632"
"143828","104633"
"143828","104634"
"143828","104635"
"143828","104636"
"143828","104637"
"143828","104638"
"143828","104639"
"143828","124921"
"143828","104641"
"143828","104642"
"143828","104643"
"143828","104644"
"143828","104645"
"143828","104646"
"143828","104647"
"143828","104648"
"143828","104649"
"143828","104650"
"143828","104651"
"143828","119835"
"143828","124922"
"143828","124923"
"143828","124924"
"143828","104655"
"143828","104656"
"143828","104657"
"143828","104658"
"143828","104659"
"143828","104660"
"143828","104661"
"143828","104662"
"143828","104663"
"143828","104664"
"143828","104665"
"143828","104666"
"143828","104667"
"143828","104668"
"143828","104669"
"143828","104670"
"143828","104671"
"143828","104672"
"143828","104673"
"143828","104674"
"143828","104675"
"143828","104676"
"143828","104677"
"143828","104678"
"143828","104679"
"143828","104680"
"143828","104681"
"143828","104682"
"143828","104683"
"143828","104684"
"143828","104685"
"143828","104686"
"143828","104687"
"143828","104688"
"143828","104689"
"143828","104690"
"143828","124925"
"143828","104691"
"143828","104692"
"143828","104693"
"143828","104694"
"143828","104695"
"143828","104696"
"143828","104697"
"143828","104698"
"143828","104699"
"143828","104700"
"143828","104701"
"143828","104702"
"143828","104703"
"143828","104704"
"143828","104705"
"143828","104706"
"143828","104707"
"143828","104708"
"143828","104709"
"143828","104710"
"143828","104711"
"143828","104712"
"143828","104713"
"143828","104714"
"143828","104715"
"143828","104716"
"143828","104717"
"143828","104718"
"143828","104719"
"143828","104720"
"143828","104721"
"143828","104722"
"143828","104723"
"143828","104724"
"143828","104725"
"143828","104726"
"143828","104727"
"143828","104728"
"143828","104729"
"143828","104730"
"143828","104731"
"143828","124926"
"143828","124927"
"143828","104734"
"143828","104735"
"143828","124928"
"143828","124929"
"143828","104738"
"143828","104739"
"143828","104740"
"143828","104741"
"143828","104742"
"143828","104743"
"143828","104744"
"143828","104745"
"143828","104746"
"143828","104747"
"143828","104748"
"143828","104749"
