"id:ID","reference_uri","name","value","uuid"
"1","http://ra.d4k.dk/dataset/ns/cdisc-ct-namespace","CDISC CT namespace","https://ct.d4k.dk/cdisc/","0e4b90e3-33b5-45f8-9367-fd1c3dbdf07f"
"2","http://ra.d4k.dk/dataset/ns/d4k-ct-namespace","d4k CT namespace","https://ct.d4k.dk/","d095cb11-c86c-4489-bae7-3f82136d6d09"
